"name"	"path"	"type"	"size"	"parent"
"99.txt"	"C:\Users\user\Python_immersion\hw_7\78\99.txt"	"file"	9	"78"
"456.txt"	"C:\Users\user\Python_immersion\hw_7\task_1\123\456.txt"	"file"	29	"123"
"123"	"C:\Users\user\Python_immersion\hw_7\task_1\123"	"directory"	29	"task_1"
"convert.py"	"C:\Users\user\Python_immersion\hw_7\task_1\convert.py"	"file"	2166	"task_1"
"create_files.py"	"C:\Users\user\Python_immersion\hw_7\task_1\create_files.py"	"file"	1719	"task_1"
"generate_name.py"	"C:\Users\user\Python_immersion\hw_7\task_1\generate_name.py"	"file"	1564	"task_1"
"gen_files.py"	"C:\Users\user\Python_immersion\hw_7\task_1\gen_files.py"	"file"	1475	"task_1"
"gen_files_to_dir.py"	"C:\Users\user\Python_immersion\hw_7\task_1\gen_files_to_dir.py"	"file"	1745	"task_1"
"renaming_files.py"	"C:\Users\user\Python_immersion\hw_7\task_1\renaming_files.py"	"file"	6463	"task_1"
"sort_files.py"	"C:\Users\user\Python_immersion\hw_7\task_1\sort_files.py"	"file"	1324	"task_1"
"write_file_random.py"	"C:\Users\user\Python_immersion\hw_7\task_1\write_file_random.py"	"file"	1059	"task_1"
"__init__.py"	"C:\Users\user\Python_immersion\hw_7\task_1\__init__.py"	"file"	155	"task_1"
"78"	"C:\Users\user\Python_immersion\hw_7\78"	"directory"	9	"hw_7"
"delete_files.py"	"C:\Users\user\Python_immersion\hw_7\delete_files.py"	"file"	4711	"hw_7"
"find_files.py"	"C:\Users\user\Python_immersion\hw_7\find_files.py"	"file"	3314	"hw_7"
"task_1"	"C:\Users\user\Python_immersion\hw_7\task_1"	"directory"	17699	"hw_7"
"zip_dir.py"	"C:\Users\user\Python_immersion\hw_7\zip_dir.py"	"file"	4418	"hw_7"
